####,,,,,,,,,,,
##################,,"India Pollution levels, State wise, 2014-2015",,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
stn_code,sampling_date,State_location,agency,type,p_value,so2,no2,pm2_rspm,location_monitoring_station,date,Year
744,2/11/2014,"Telangana,Sangareddy",Andhra Pradesh State Pollution Control Board,Industrial Area,,25,101.8,"pm2 70,rspm 228","APIIC Building, IDA, Pashamylaram",11/2/2014 0:00,2014
11,1/6/2015,"West Bengal,Howrah",West Bengal State Pollution Control Board,"Residential, Rural and other Areas",,25,60,"pm2 90,rspm 181","Bator, Howrah",6/1/2015 0:00,2015
SAMP,15-10-15,"Gujarat,ANKLESHWAR",Gujarat State Pollution Control Board,RIRUO,,25,27,"pm2 42,rspm 83","Panoli Ind.Asso. & Emergency Response Centre,Plot-913/10-20, GIDC, Panoli,ANKLESHWAR",10/15/2015 0:00,2015
SAMP,10/8/2015,"Gujarat,ANKLESHWAR",Gujarat State Pollution Control Board,RIRUO,,25,26,"pm2 41,rspm 82","Panoli Ind.Asso. & Emergency Response Centre,Plot-913/10-20, GIDC, Panoli,ANKLESHWAR",8/10/2015 0:00,2015
SAMP,16-11-15,"Gujarat,ANKLESHWAR",Gujarat State Pollution Control Board,RIRUO,,25,27,"pm2 40,rspm 91","Panoli Ind.Asso. & Emergency Response Centre,Plot-913/10-20, GIDC, Panoli,ANKLESHWAR",11/16/2015 0:00,2015
SAMP,31-08-15,"Gujarat,ANKLESHWAR",Gujarat State Pollution Control Board,RIRUO,,25,26,"pm2 35,rspm 83","Panoli Ind.Asso. & Emergency Response Centre,Plot-913/10-20, GIDC, Panoli,ANKLESHWAR",8/31/2015 0:00,2015
SAMP,21-05-15,"Gujarat,ANKLESHWAR",Gujarat State Pollution Control Board,RIRUO,,25,na,"pm2 34,rspm 83","Panoli Ind.Asso. & Emergency Response Centre,Plot-913/10-20, GIDC, Panoli,ANKLESHWAR",5/21/2015 0:00,2015
SAMP,11/6/2015,"Gujarat,ANKLESHWAR",Gujarat State Pollution Control Board,RIRUO,,25,29,"pm2 34,rspm 85","Panoli Ind.Asso. & Emergency Response Centre,Plot-913/10-20, GIDC, Panoli,ANKLESHWAR",6/11/2015 0:00,2015
SAMP,9/11/2015,"Gujarat,ANKLESHWAR",Gujarat State Pollution Control Board,RIRUO,,25,25,"pm2 34,rspm 83","Panoli Ind.Asso. & Emergency Response Centre,Plot-913/10-20, GIDC, Panoli,ANKLESHWAR",11/9/2015 0:00,2015
SAMP,23-07-15,"Gujarat,ANKLESHWAR",Gujarat State Pollution Control Board,RIRUO,,25,22,"pm2 34,rspm 82","Panoli Ind.Asso. & Emergency Response Centre,Plot-913/10-20, GIDC, Panoli,ANKLESHWAR",7/23/2015 0:00,2015
SAMP,7/5/2015,"Gujarat,ANKLESHWAR",Gujarat State Pollution Control Board,RIRUO,,25,29,"pm2 32,rspm 86","Panoli Ind.Asso. & Emergency Response Centre,Plot-913/10-20, GIDC, Panoli,ANKLESHWAR",5/7/2015 0:00,2015
SAMP,9/7/2015,"Gujarat,ANKLESHWAR",Gujarat State Pollution Control Board,RIRUO,,25,29,"pm2 32,rspm 89","Panoli Ind.Asso. & Emergency Response Centre,Plot-913/10-20, GIDC, Panoli,ANKLESHWAR",7/9/2015 0:00,2015
SAMP,21-09-15,"Gujarat,ANKLESHWAR",Gujarat State Pollution Control Board,RIRUO,,25,25,"pm2 32,rspm 89","Panoli Ind.Asso. & Emergency Response Centre,Plot-913/10-20, GIDC, Panoli,ANKLESHWAR",9/21/2015 0:00,2015
